Title,Date,Rating,Thumbs_up,Thumbs_down,Description
Time to make a change,"Nov 8, 2011",N/A,1,2,"Time for a dream scene that should have Alan wake up in a sweat to find Charlie sitting at the kitchen table!!! This new format is not working, after watching the first episode with Ashton Kutcher I thought YES this might work but now I am considering not watching again. I have noting against Ashton Kutcher or his acting but the part written for him does not lend to the ethos of the show. The show has lost the element that made it a great show, Charlies womanizing and OTT behavior. Jake is at an age to make it really interesting with him coming of age, this should be a writers dream, Jake and Charlie after the same Girls and maybe Jake getting one or two that Charlie wanted. Please get Charlie Sheen back. They will probably have to see this season out with Ashton Kutcher, and Charlie Sheen making an appearance in the last episode."
Very good but there is a problem called Charlie Sheen,"Apr 30, 2011",8,0,2,"This a great T.V show it is one of the things that no matter what this will always make me laugh.I just have a few problems with it one is that the Alan character crosses the limit of stupidness into a place called ""I hate that guy"" and that makes me want to stop watching.My second problem is that every time the story could take an interesting turn it always return to the same thin over and over again and that crates and unstoppable loop that I sincerely hate in many ways i cant describe.And the thing that i hate the most is called Charlie Sheen without him the series could go much further and be much more durable but the problem with him is that without him the series would slowly and painfully die.

But putting that aside first 1 to 5 seasons are good but the more the season advance the more I hate it so know i am missing half 7 season and a 75 percent of the 6 season.

Well with this you know that at first you would have a blast but as the seasons past the joy and the laughter will decrease over time."
Among the greatest shows on Earth (and beyond),"Sep 21, 2024",10,0,0,"The concept itself deserves mega sexy props. It's sad how the show ended though, especially the last season, which was painful to watch to be honest, and not because the show was ending, but because it was not ending fast enough. However, as long as Charlie Sheen was around, this show put miles between itself and any other show in terms of plot development, acting, and writing. Delicate subjects like the flaws in alimony laws, ups and downs of shared custody, importance of individuality, alcoholism, dynamics of a dysfunctional family and pansexuality, challenges of coming off age, dance of hardwork & luck in life, repentance, and more were all handled craftily. Jon Cryer as Allan Harper is the Godfather of modern day parenting for me. That man taught so many parents how to be the perfect parent. Hats off to the entire cast actually, amazing chemistry. I bet it wasn't easy, so thank you for everything, you made a lot of people so happy and you taught us a lot of stuff."
The first 8 seasons.,"Mar 4, 2021",8,0,1,The show is over when Charlie Seen is leaving.The rest is garbage.1 Star for the seasons with Walden.
Jumped the Shark,"Oct 27, 2013",1,3,3,"I watched the latest episode. I didn't even smile once. There was nothing at all funny. It's all about Alan and his crotch. Even Kutcher was cardboard like and not funny. I just don't care about the characters anymore. As insane as Sheen turned out to be, he was the show. Where did the writers go? Why did they hire 14 year old boys to write the scripts?

Not funny in the least. It was better last season, but even then you could see Alan was becoming a real one dimensional tool. There is nothing likable about the character at all anymore.

I'll give it one more shot, but I doubt it's going to change much. Where is Alan's X? His Mother? Why isn't Berta on more? Strong characters they have just abandoned. A shame. It looks like Sheen was right, without him, it's dreary."
It still holds up well for a series that has had 12 seasons and 1 soft reboot.,"Mar 21, 2024",9,0,0,"The Charlie Sheen crisis is truly ending our beloved series. Although it continues in name, it is a completely different series in spirit. Jack's role diminishes until he disappears from the series altogether. While Alan's character used to have reedamable features, he becomes completely unbearable. Although the character of Walden is not bad, after Charlie, he can be a bittersweet consolation at best. Lindsey character does not deserve such a long screen time when legendary characters such as Evelyn, Rose, Herb have been removed from the series with rare cameos.

Still...my country has been drifting from a free place to a conservative country for the last decades. A while ago, I heard someone say that if a group of people in our country were able to grow up in this environment with a relatively free mind from conservatism, it was thanks to TV series like this. And he was absolutely right."
This is my least favorite tv show of all time,"Sep 26, 2022",1,8,16,"I hate everything about this show. It is so stupid! I have never laughed at this show not twice, not once, never. The acting is terrible. The whole premise of this show is stupid nothing makes sense. The writing, oh the writing. Anyone who wrote this show should never write anything again. Now I love sitcoms. Most of my favorite tv shows are in fact sitcoms. But this show isn't funny isn't surprising isn't entertaining it's just bad. One time I found a bunch of two and a half men dvds in the junk, later that day I went back to my house lit a fire in my fire pit in the backyard and burnt them. I saved some sick fool from buying them and watching them. But don't watch this show it'll save your life."
Madness of Murphy 2,"Feb 24, 2005",N/A,2,8,"Please folks ignore Murphy 2's comments. The comedy of 2 1/2 men is as good as Frasier, Cheers and Friends if not better. The 1/2 a man is a good foil for Charlie Sheen and at last we have a funny child in a comedy show. Normally the children in comedies are smarmy, this child however is one for the future. Sheen is a great uncle and his brother makes as good a brother as Niles in Frasier. The comedy is slick and the one line gags are always catching you out as you can't see them coming. A laugh a minute from start to end. Even the theme tune makes you smile. I suggest you give it a chance and watch a couple of episodes your sides will split with laughter, once you've watched a few episodes you'll be hooked."
Do not consider episodes after charlie dies,"Aug 15, 2018",10,0,2,It is one of the most funny and quirky tv series that i have ever watched. It certainly makes you laugh
How much is too much,"May 25, 2018",8,0,1,"The tv series is okay. Not extraordinary but still enjoyable. I stopped watching it after season 5 because i started getting bored of watching almost the same thing over and over again. Anyway, I started watching again after a few months. I don't miss Charlie and feel story goes just fine without him there. But I want to ask one thing. How much is too much! Alan getting humiliated by others and his own self is way too much. Disheartening and shocking to be least."
BRING BACK CHARLIE FFS,"Mar 6, 2021",8,0,1,"I'm giving 8 stars to the S1-S8. They are so funny to watch even repeatedly. To be honest, without Charlie,I never finish watching even one episode of S9 and I would not watch it any more. This show now is dead to me. I'd rather watch the former 8 seasons again and again. I like Charlie, Rose, little Jake, Berta and Evelyn in the show. At first I think this show is just for fun. But as I watch more, I realize that there are a lot of other things that I like which can make people stop to think. Charlie seems to be womanizing and nonchalant to his mother and brother at first. Yet I see a loving Charlie when Evelyn is vulnerable, when he comes into Jake's room to find the sulking Jake who is hiding in his room just because Charlie threatens Alan to move out. Rose loves Charlie so much and she is a good girl. So funny to see her head popping out from the deck. .... This show, S1-S8, is one of the best sitcoms in my eyes."
Poision of Intellect which Glorifies Amorality.,"Oct 4, 2011",1,6,11,"So, Charlie is this rich (deserves a half of a star for the idea of him writing jingles - it could've been such a great idea from where the writers could've pulled out so many great ideas BUT they didn't) life burning drunk, his brother Alan is the leech who's, as it turns out in the long run, even more amoral than Charlie (I cannot decide which is worst - the 2D character Charlie or his vermin of a brother with his ""excellent"" parenting skills!). And, then, of course Jake! He's in the same bowl with Charlie having no evolvement throughout the series what so ever - there's not even the slightest emotion in his acting (I know, I know, emotionless can be a way of interpret a character, but seriously - he's like tiny boy-formed terminator). Everything about this show is humiliating. It's offensive, discriminating, amoral and repulsive in the most unhumorous possible way! Seeing how it has been nominated for 2 Golden Globes (or any awards in that matter), ranked so high in IMDb and being liked by many makes me ashamed of how could people like such primitive humor. I understand, everything doesn't have to be sophisticated and sitcoms are supposed to just throw a joke after another at you, so you wouldn't have to crack your brains after maybe a hard day at work. But there is a thin line where the watcher should distinguish if the jokes are made by actually insulting and mocking (in the core, they are I-took-a-dump-in-your-bed *HAHAHA*) everybody (if you are laughing at these jokes, it shows your approval of behaving like this, I cannot bring myself laughing at them, I'd feel guilty) OR a offensive joke is contradicted with nuances (even if they are barely noticeable) e.g. satire, parodies, irony etc. In ""Two and a Half men"" there is none. It's through and through primitive. However, the other half of my given star goes to Aston Kutcher whom I've notices the fans of the show haven't received that well. For me, if anything, he made the show a little watchable. His character is direct and that man can actually act when Charlie Sheen squinted his eyes and had to bitch as much as he could (oh what a challenge!! - not much acting done there when rumors say that's his character aside acting as well), but Ashton on the other hand makes the show, for me naturally, not that much of a nightmare as it was before. There are horror movies less horrifying how its messages could inflict watchers. In 1932 ""Scarface"" was banned due to the glorification of crime. I would draw an analogue with Two and a Half Men which almost like glorifies and encourages people to being plain, blatant, selfish, unethical, from times even cruel and inconsiderate. I try really hard to not be over judgmental, but this show is ugly, it has no soul, no meaning, no point. It seems to have a mission to laugh people into a state of vegetables where the line between right and wrong's been crossed. I feel like poisoning my intellect every time my brother watches it. I would never recommend it to anyone (I'd be probably too afraid that one would actually like it), but if, then the last season, which I myself watched just out of curiosity wanting to see if it could get any worse or actually be saved. Well, it wasn't saved, but Ashton pulls the ugly bar down a little."
Was really boring earlier but it changed,"May 9, 2018",8,0,2,"I must admit that I really didn't like it at all. Up to 5 seasons. Seriously. Then after a few months i started watching again. Then gradually started liking it. After Charlie the show is not boring as people say. Ashton is also fine. Well, to sum it up. Earlier didn't like it and then gradually started enjoying. Ha!"
Without Charlie it is not funny anymore,"Feb 1, 2012",1,4,6,They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..They have to bring back to Charlie. Now its boring and not funny anymore..
Getting Better :D,"Feb 7, 2012",N/A,1,3,"The first little bit of Season 9 was nearly strictly sex jokes and mean jokes at Charlie's expense... Probably because the writers and producers were still mad at Charlie the actor at the time of writing.

But finally the Charlie Jokes are done and really nice character development has begun.

Lot's of people are saying that this season sucks and bring back Charlie, honestly the last 3ish seasons all sucked with Charlie in them.

Episode 9 and on have actually been quite entertaining for me, I could do without all the drug references which seem a little off putting, Jake does not need to grow into a pot head!!!

But more than not I am enjoying this season, and hope it continues to improve!!!!"
Good show.,"Mar 24, 2016",8,0,0,"big spoiler from season 9

I like the show. It is very funny, but the story is not that good. Charlie Sheen, playing Charlie Harper is definitely the best character in the show. Walden Schmidt is cool too, though, but it's just not the same. I like the fact that Alan Harper just stays in the beach house in Malibu. Both, Charlie Harper and Walden Schmidt have issues. Charlie Harper is a pig. Walden Schmidt is a baby. I love Berta, because she is so lazy, but still loved by Charlie Harper, Walden Schmidt, Jake Harper and Alan Harper. I like how Angus Jones, playing Jake Harper plays his character so well, even though he is so young at the beginning."
Idea for show's survival,"Mar 8, 2011",10,0,2,"Here is an idea to keep the same name, and keep the show going for years with new writing. The back-story is that Charlie and his brother Alan were killed five years ago, so we have moved on. It is a comedy, so we don't need to ever know how they were killed, other than it can be referenced in comedic mystery. Jake and Berta have been given Charlie's Beach house in the Will to split. Jake has graduated from a local community college in Piano, and his best friend now takes on the role as the ambiguously gay roommate or dork character. I think that premise might leave the other characters in place, and keep the same set infrastructure going for years to come. But, if Charlie has to go, since the show was based on his real life craziness, then so does John Cryer's character Alan. Set five years in the future, I think the show can open up to a whole new generation / demographic, and new ladies for Jake. With Jake taking on Charlie's old personality, and allow him to continue to grow that role. Let me say, that the show will not be the same without Charlie Sheen, so a new show should probably looked at as a spin-off"
worst show ever made,"Feb 4, 2019",1,3,4,Nearly vomit every time one of the ads comes on tv. Wake up this is pathetic. ZERO stars. WARNING SPOILERS THIS SHOW SUCKS
Gave it 10 stars. Only the episodes with Charlie. The new shows are just plain stupid and lack humor. Who's writing this show now. It sucks.,"Mar 11, 2021",10,0,2,"10. Only for Charlie. Ashton is not made for this role. It's all over the place and the content is absurd and weak. They fd up a great show because of Charlie's breakdown. We all have them. This hurt cbs badly. 0 for the ""new"" 2 1/2 men."
I'd give two and a half stars if I could,"Jul 27, 2019",3,3,4,"I found this show very depressing.

Let me explain the difference between this show and Family Guy: FG makes a lot of jokes on people suffering. For This show the suffering IS the joke.

And the victim is Alan Harper. A straight up nice guy who deserves none of the abuse or misfortunes that befall him. One episode you can take but it just goes on and on with even the glimpse of a break always cruelly snatched away.

It's not exactly high brow but good comedy rarely is for some reason. I'm not saying it was never engaging or whimsical or well characterized but it grates on you before too long because asides from the one punching bag every character is thoroughly unlikable. Including that British woman with the jarring voice. I'm British myself and hate her.

There's only one sitcom more depressing and that's the inbetweeners."
Nice one,"Oct 31, 2009",N/A,1,3,"At the beginning it didn't capture my attention but as I started watching it, it grew on me.

And it's fun to watch over and over again, due to the great jokes and replicas they have.

Another great thing about it was that finally I can watch it with my boyfriend...a rare thing when the opposite sexes agree on a movie:))

Lover the characters, the good jokes. It's really great after a hard day's work, to sit down and truly relax.

So thanks and keep up the good work!, we're looking forward to the new episodes."
Tragic for two reasons,"Feb 5, 2015",9,0,1,"Tragic reason 1. This was at the zenith of comedy; smart writing, great characters and absolutely hilarious. So why is it tragic? Because Sheen left and we can now only watch repeats.

Tragic reason 2. How can I possibly vote and give it 10 stars as I 100% iron-clad believe it deserves when they lump the series with Ashton Kutcher into the same IMDb title. Surly it's an insult to the original Two and a Half men by including the Ashton Kutcher crap which is a completely different comedy of the same name. Talk about ruining a legacy!

At the time of writing the ratings stand at 7.2. This would have been so much higher if were not for adding the last series with Ashton Kutcher. It's a travesty and has brought down the ratings on this, once, wonderful comedy that had me laughing out loud throughout the whole episode."
I stand corrected about my previous review,"Jun 8, 2020",8,0,2,"The show after the 8th season is actually pretty good. I mean, Charlie Sheen was really talented and great and all, but the show after he left was still outstanding. It became a different style, actually less depressing generally speaking, besides without Charlie, Alan Harper had a better chance of showing his unique charm. I think people simply expressed their grudge of Charlie leaving in ways of despising the rest of the show."
A,"May 12, 2018",10,0,0,"One of the funniest series of all time. Sadly, they don't make ones like these anymore. R.I.P to a hilarious Show"
A Long-Running Sitcom Sinks Under Crude Humor and Stagnant Characters,"Jul 14, 2024",3,3,4,"""Two and a Half Men"" is a long-running sitcom that garnered significant popularity, but it ultimately falls short in several key areas, warranting a score of 3/10.

First and foremost, the show's humor is often crude and repetitive. The series relies heavily on sexual innuendos, cheap laughs, and formulaic jokes that quickly become stale. While this approach may have initially attracted viewers, it lacks the depth and cleverness found in more sophisticated comedies. Over time, the reliance on lowbrow humor results in a lack of genuine wit and creativity, making the show feel monotonous and predictable.

Character development in ""Two and a Half Men"" is another significant issue. Charlie Sheen's character, Charlie Harper, is the quintessential playboy, and while his antics can be amusing, his character remains largely one-dimensional throughout the series. Similarly, Jon Cryer's character, Alan Harper, is portrayed as a perpetual loser, and his misfortunes are milked for comedic effect without allowing for meaningful growth or change. The lack of character evolution makes it difficult for viewers to form a lasting connection with the characters.

The series also struggles with consistency, particularly following Charlie Sheen's departure. The transition to Ashton Kutcher's character, Walden Schmidt, was jarring and failed to capture the same dynamic that initially drove the show. This shift not only disrupted the established chemistry between characters but also led to a noticeable decline in the quality of writing and storytelling. The attempts to revitalize the show with Kutcher's addition felt forced and ultimately fell flat.

Furthermore, the portrayal of women in ""Two and a Half Men"" is often problematic. Female characters are frequently depicted in stereotypical and shallow roles, serving primarily as objects of desire or sources of conflict. This lack of nuanced representation reinforces outdated gender norms and detracts from the show's overall appeal.

While ""Two and a Half Men"" had its moments of humor and occasionally touched on relatable family dynamics, these instances are overshadowed by its numerous shortcomings. The show's reliance on repetitive and crude humor, lack of character development, inconsistency, and problematic portrayal of women all contribute to its overall mediocrity.

In conclusion, ""Two and a Half Men"" fails to deliver a consistently engaging and thoughtful comedy experience. Its initial charm is quickly undermined by its repetitive humor and lack of depth, making it deserving of a 3/10. While it may have found a dedicated audience, its flaws prevent it from being a truly great sitcom."
I Love You Plz Comeback,"Aug 18, 2015",10,0,2,I loved this show. This show was the best on the television for i don't know a decade why do all good things have to end?? i think the time of this series has not came yet there is still a lot more to explore a lot more story line to tell and more of all you could not have been able to ask for a better cast ASTON KUTCHER JOHN CRYER CHARLIE SHEEN(you get my point) and the most brilliant comic producer director television ha ever seen CHUCK LORRE. I think there is still enough steam left to take the series forward for another 10 years plz make it HAPPEN!!! CHUCK LORRE CHARLIE SHEEN now behave like good kids make up and give our show BACK!!!
Worst Theme Song Ever!,"Jan 18, 2013",1,3,4,"There are so many things to criticize about this show...but the one special abomination it shares with virtually no one else is a stupendously amateurish theme song.

One can only imagine the nepotism that must have been involved in the selection of composers for it. The average musician would never be given access to the show's production team...would never get past the secretary and his demos would go into the trash unopened.

For that matter, anyone who did get access would be shot down and told that only the highly educated, seasoned and intrinsically gifted can compose for television...which begs the question, how did we wind up with ""Men-men-men-men-manly-men, woo-hoo-hoo-hoo-hoo-hoo-hoo-hoo?""

Like everyone else in America, Hollywood clearly doesn't consider performance in its hiring decisions, just the ""BFF-factor."" As for the show itself, if you've seen one you've seen them all: Chick magnet Charlie always wins, nerdy Allan always loses. Remember those predictable Tom & Jerry cartoons? Same thing here. Rent a DVD of the old ""The Saint"" series instead."
good show,"Nov 7, 2003",N/A,2,12,"What i really like about this show is that Charlie Sheen is sober. I think that him and the little boy make a good team together; i wish that Jon Cryer wasn't in the show, he's just in the way of Charlie and the little boy. Anyway, this is a good show to watch."
"Great, hilarious sitcom!","Jul 6, 2012",10,0,1,"*Written from a 12 year old's POV* I love this show, personally, and I currently own the season 1-8 boxset. The first episode I ever saw, Aunt Myra Doesn't Pee A Lot, really entertained me and I have been watching for the past year. Charlie Sheen, Jon Cryer and Angus T. Jones all deliver solid performances for the three primary characters. Created by Chuck Lorre (who also created TBBT and Dharma & Greg), this sitcom does a really good job of gradually changing characters over time, like Jake (the series starts when he is 10) and Charlie (who develops a great relationship w/ Jake).

*SPOILER ALERT*

After Charlie Sheen was fired from the show, it really suffered. Ashton Kutcher (who replaces him) does not do a good job in replacing him. The show is still hilarious, but nowadays I would give the Kutcher era 7 out of ten compared to 10 out of ten for Charlie's era."
best sarcasm with Charlie Sheen best comedy show ever watched,"Apr 1, 2020",10,0,0,"Until Charlie was part of this show the level of comedy and sarcasm was unbeatable I want to appreciate writers of the show I have watched it many times still its replacement not found every line of this show have another level of sarcasm this show with Charlie Sheen will always be in top of my list. Thanks to writers,directors,producers and every individual who contributed for this. Its been years and I am still searching replacement of this show and at the end I watch some of the episode of this not other show is as much fun."
Great show,"Mar 30, 2025",8,0,0,"I like all kinds of crazy comedies, but this doesn't take it too far that it gets sickening, and they don't change the characters too much. Charlie Harper was a great character, but I liked it even without him, but my most favorite character of this show is Rose when she makes up all kinds of plots, and they could have used her more in this show. Alan could have been an even crazier character that makes everyone laugh and drives Charlie totally crazy, like the time when Alan stole the gas from Charlie's car and when he tortured Charlie for days with all kinds of lies. I wish they would make some other similar kind of show and add even more funny events in it, like what I previously mentioned."
Worse show ever,"Jan 25, 2019",3,2,2,The worse show I ever had been watched . I wasted my time on this show. I hated the show after the eighth season. All of you know that person who is died which was my favorite actor .
This Good TV Show till last Season,"Sep 22, 2024",8,0,1,Charlie Sheen and Jon Cryer make the show very good is TV show is hilarious and Charlie is hilarious Alan is hilarious Jake is good their mom is funny and so is the ex-wives all the girlfriends the only time this show stunk with Ashton Kutcher no offense to Ashton but he was not right for the TV show he was better on that 70 show and The Ranch which the ranch is that 70 shows on a ranch all good shows but Two and a Half Men was not for Ashton Kutcher no offense Charlie with perfect for the show and Alan together we made that this show work and all the other characters in the show hope everyone enjoyed it too.
"Pre Ashton good, post Sheen bad","Mar 20, 2012",4,2,2,"Here is the thing about 2½ men. This used to be a pretty good series. I was always looking forward to the next episode. It had a solid screenplay with lots of funny jokes and it all came down to one thing. Charlie Sheen.

I do not dislike or want to discredit Ashton Kutcher in any way. He has been amazing in many other roles. He was the one thing that made me watch the complete set of That 70's show. But, he is no way near a good enough replacement for Charlie Sheen in 2½ men. The reason is very simple, it was originally a series written to fit Charlie. Not only his role in the series, but every other aspect was written to complement him and his lifestyle.

Due to the unfortunate events that unfolded in real life between Sheen and Chuck Lorre they ""killed"" Charlie in the series. And I am not really sure the killed him completely. The only thing you actually see of his demise is a funeral with a closed casket and his clothes hanging in one scene. We completely trust the story Rose tells about this. Maybe this is to let the door be open for a return later on.

Anyway, this series is very much a series worth watching up to the point where Charlie is no longer in the picture. After that John Cryer gets a little bit worse and Ashton feels like a bad fit. The jokes gets to be a bit mediocre and you can actually feel how the series is dying more and more episode by episode.

My personal biggest regret of this whole thing is that I used to rate this pretty high on IMDb, and now I have reduced that rating. This however makes me feel like I in a way diminishes Charlies part of the series."
This show is HILARIOUS!,"Apr 29, 2004",N/A,1,5,"The episode ""Camel Filters and Pheremones"" was one of the funniest things I've seen on TV in a long time! It is definetely worth the time. I never knew that Charlie Sheen was such a great comic actor! Definetely give it a try, if you have a sense of humor, you'll love it! In the episode I'm talking about, a sixteen year old who's really beautiful comes to clean the house with Sheen's housekeeper. They spend the entire time trying to avoid her because ""I'm not even free to take her across state lines"" It was absolutely hilarious! The maid is also a riot. She's usually on the show on about every other episode and she is a really great comic actress. I'll keep watching it!"
"Brilliant, outstanding, amazing, best comedy ever made!!!!","Mar 4, 2012",10,0,2,"Jon Cryer, Angus T.Jones, Charlie sheen and Ashton Kutcher. all you guys are legend comedians and all deserve awards, best t.v show ever made, amazing, 100% pure comedy. love this show to bits, i watch it every day and have got all the seasons, hope you continue to make successful shows and make every fan proud!!!. Best show brilliant amazing outstanding must see 100% pure comedy show is great and always get me in the a happy mood. Charlie sheen made the show what it was until Kutcher came, however Kutcher is a good actor and isn't replacing Sheen but is continuing to make the show successful and this show is what comedy is all about and deserves best comedy show of all time."
People underrated it beyond season 8,"May 18, 2021",10,0,1,"It was hell of a show entirely. I can't deny that upto season 8 ot was pretty good but after that too, it was awesome. I just loved this new Schmidt character. The complete series is greatest of all time according to me."
I love the show and hate the shirts Charley wears,"May 23, 2008",10,0,2,"I love the show! It genially entertains based on day to day life. Real, charming and humorous character of Charley is awesome. All remarks, comment, etc. very much suite the daily routine of a southern Californian. The Characters say what they want to say, the way they want to say it, and when they want to say it. There is no room in the show for pretense, undesired politeness and false statement.

There is nothing better that expressing yourself in true manner.

Yet the ""Tommy Bahama"" shirts are unsuitable with the Charley's character. T-shirts would match the personality and the Charley's lifestyle. In addition, Tommy Bahamas shirts are not popular in LA area. Maybe in Orange County"
now that charlie's gone...,"Jan 24, 2015",1,2,2,"Charlie was the greatest character of all sitcoms! he had the best don't give a s***-attitude, was a sexist alcoholic and the show was great, because of him.

so why trade that guy into a childish, non-alcoholic, non-sexist smart guy? why (season 12) marry alan, adopt a child with him ??? just so the show can be called ""two and a half men"" again ?!? (btw. the show even was called ""my cool uncle charlie"" in German - they had to change it ;))

it used to be hilarious, but I suggest to alter the title of the show, because except for alan (who is getting more and more annoying), and some cameos, NOTHING used to be in the original show..."
The best for me,"Oct 2, 2021",10,0,1,"My favorite series, never stops watching it in a loop."
Shallow and lazy,"Sep 10, 2024",4,2,2,"Hey writers did you hear something called character development? Every episode is the same, every diagolue is misogynist. Characters are never taking lessons and change even a little bit. I quit in season 5 and take a look at a charlie's funeral and I couldn't beleive it. He must be a.protagonist that we love and root for and he is gone, murdered even and there were no emotion on the scene. Some may say it's caricatured, well of course but it stop us to connect with characters and have empathy for them. This show is so unrealistic, monotone, misogynist and not funny at all. I wouldn't recommend to anyone."
Two and a Half makes a Whole!,"Sep 17, 2009",N/A,1,5,"Sydney Channel 9 has been running this show, it seems for ever, sometimes at the rate of 3 episodes a night and at least one episode 3 nights a week! And I still think it's wonderful even if I just read here that its popularity has plunged 18%. Why does it work so well? I guess everyone can recognise something real in this. The whole situation already has nearly everything. Well to do bachelor cruising through life with no problem and women galore, but suddenly has to share his house with his brother and his son(who certainly never belonged, and could be a definite motive for systematic abortion).Yes his marriage ""almost"" ended. Almost because he probably has more to do with his ex-wife than most married man would with their wife! The kid his something on his own as well, food loving and manner less, yet sometimes so appropriate. Our wealthy carefree bachelor is so because he has a permanent care-taker, taking care of everything in the house. And the two enjoy an unusual relationship where it is difficult to see who's the employee or employer as they have a mutual respect despite their own quirky little sides . The ex-wife is terrific, going for broke to get as much as she can from the divorce. These two ""boys"" have a mother whom most of the time they wish they would not have, and they keep reminding you how much they were her last priority. To complete the ""circus"" There is Rose the down-the-yard neighbour. who once was one of the ""ladies'galore"" and will never let ""Charlie"" forget it. Why she keeps appearing like a ghost who does not need keys is part of the fun. But this entire melting pot is a pot of fun. The adult/child mix is wonderful and plays in a parallel plan so the adult acts like adult and the kid too even if occasionally he uses adult behaviour that he does not really understand. But it all fits. In Sydney the episodes were divided with adult session and normal session. For me totally futile as the episodes shown early evening were just as much ""corrupted"" than the late ones. The core of the show is really the script and the chemistry that goes between these two brothers. I feel it works so well because they portray the yin and and yang of society. Those who get it and those who don't regardless of how smart they are. You can pick them in kinder garden yards or in retirement villages. So anyone can associate and relate to this and it's superbly served in the most humorous manner, so you can't hold laughing. But the reminder of the characters is also powerful and complete well this work.

What a shame there isn't something to stop kids to grow older because as this one does grow older, he and the show have lost their candour and the script does not seem to work so well for a teenager. This possibly could contribute to a down in popularity. Just the same give it a go!... 2011 20th of September! Sydney after Charlie virtual suicide has disappeared from the show some months ago and we were promised a replacement. Pardon me if you can but I was much prejudiced about a replacement - it seldom works (Here for my own experience, I would make an exception for ""Insperctor Rex""). So today we got the serve! A little in the manner of the 10 year anniversary Of N Y Twin Tower tragedy only 11 days ago(also that was announced as ""the event that changed the world for ever""! ( I can think of a lot of places in the world that would be very surprised to hear this, especially those starving to death in several part of that very world....) Anyway our TV, Radio and a few other media associations trumpeted the event as ""ultras special"" I was somehow sorry to see this show deteriorated and almost sabotaged by the very person who in my view made it so successful. So I kept an eye on that half hour, yes I was not open to it and so my expectations were entirely fulfilled. For me it was nice to see for a last time this team I enjoyed for many months but alas I found it truly to slumber into mediocrity. I think Charlie's exit would have been more appropriate with a suicidal note and apology to the would be ""survivors"". I don't think this show will survive so an apology would have done justice. How nice for a while I won't fill compelled to watch anything as a must. Good luck for those who still will something to laugh about it."
Loved the second half more,"Oct 14, 2018",8,0,3,"I had it rated as 6 for Charlie's humour but I changed it to 8 cause I found the second part with Ashton Kutcher way funnier. It's probably a non offensive kind of humour which is more my style. Overall great, light series to watch."
Good show even after season 9 too,"Sep 21, 2021",9,0,1,A good show even after Charlie Harper died. Do not measure by ratings that they have given after season 9.
Hi Mr Horned One,"Jul 17, 2019",10,0,1,"By far the Best Comedy episode I have seen since the last episode of Newhart, when Bob woke from his dream. If you haven't seen this episode try and see it. So many plots tied into each other and an ending that was Brilliant."
"Charlie's Season's rated 9, but then...","Nov 1, 2018",2,2,2,"Ive never seen a show flip totally. I understand why Charlie had to go, but why oh why did the writers then decide to make the show a liberal flag waving advertisement!! Charlie Harper episodes were very much about a man's man, a womanizer, alcoholic and very flawed, but very funny, no politics, and not PC. Then he went! So they decided to make the show the complete opposite, subtle at first, but a slap in the face by the end. Politics mentioned, such as ""you're not a republican are you?!"" (I'm English, I don't care, but I knew where it was leading, or had lead) Political correctness abound, Lesbian daughter/mother, the gay marriage, tons of pot smoking etc. Now, I'm not against these, and done in a certain way it could've been funny, but it wasn't, due to the fact, it seems to have been done for virtue signalling, and making a point. (Hollywood do this to movies and series all the time these days, and they flop big time) Yes Chuck Lorre had a huge problem with Charlie Sheen, but to ruin the whole show to spite him (which he seems to have done) is ridiculous. I'll always enjoy the Charlie episodes, but will never watch the others again, what's the point!"
Hope Charlie has never gone,"Aug 7, 2014",8,0,0,"The seasons 1-8 were really hilarious. As a disadvantage I can think only about that there were times that plot and quotes were one level more predictable that someone could tolerate. Although i do not like Charlie Sheen I must admit that I really miss him from the show. This is absolutely his show and his acting style was more appropriate for the scenario. On the other hand seasons 9-11 were too shallow. I don't even understand the addition of Jenny; they trying to have something from Charlie in the show? In addition, Ashton Kutcher may be a very good actor but I think his role is too boring. Sometimes, he is a wannabe Charlie (see the quotes for Alan). Of course this is a scenario's fault but it is not a surprise; in these seasons, Alan stop working, Jenny does not work and they all live by Walden's money, who is a Mother Teresa and invite strangers to stay in his home and additionally he gives them money to live too. Wow!"
Where is charlie sheen ?,"Sep 25, 2020",2,2,2,This TV series sucks without charlie. Part 1 was a zem....but not anymore
